3.0357,6.7322,0
-3.8274,2.5086,0
2.3357,5.8039,0
-2.7533,2.7562,0
0.5116,1.9709,0
-1.9364,2.9099,0
1.5089,4.0361,0
-0.50419,6.361,0
0.0054672,2.4545,0
4.8621,7.145,0
-1.2607,2.5361,0
2.8983,7.6943,0
-0.71449,4.8463,0
0.10428,4.5041,0
3.8399,2.9323,0
2.0693,2.712,0
1.9901,4.7141,0
3.5809,8.3005,0
-0.31505,4.8648,0
0.62741,2.7093,0
1.8862,7.1289,0
1.5043,4.8719,0
3.0505,7.3138,0
-2.9347,2.9966,0
-1.0294,5.0093,0
-1.8203,1.3553,0
-2.4586,2.4961,0
2.3149,6.7892,0
0.010117,5.9699,0
-1.362,7.1513,0
0.55307,6.0195,0
-2.8876,4.6162,0
-1.7354,6.0514,0
1.6985,6.8891,0
-2.8687,6.7014,0
4.3626,9.1392,0
-1.9401,6.069,0
0.87683,4.6375,0
-0.62083,1.7675,0
0.62005,3.4726,0
1.9212,3.3858,0
3.7355,4.313,0
3.7174,8.7533,0
0.046882,2.7973,0
0.59855,6.3844,0
1.5464,1.8573,0
4.7107,5.0813,0
3.0113,5.2198,0
-2.6647,3.0346,0
-0.64019,6.8922,0
-1.5163,3.7672,0
-1.1027,7.293,0
2.6019,3.8605,0
-0.049747,2.1883,0
4.5777,7.0455,0
2.1758,9.3856,0
1.7182,8.0758,0
5.6852,8.293,0
0.12765,6.2472,0
1.8247,8.8541,0
2.369,8.2829,0
-0.43821,4.0219,0
1.4176,5.3979,0
-2.1704,2.4311,0
3.3111,5.1271,0
5.2446,7.585,0
1.6887,6.0315,0
-3.8933,1.7956,0
5.2072,8.5855,0
-1.8623,6.629,0
-1.8384,7.0074,0
-0.92639,5.3083,0
0.39838,7.0081,0
-2.1048,5.5029,0
7.8177,7.5704,0
-1.0837,4.446,0
2.9779,4.588,0
2.5311,2.3146,0
-0.89305,4.3532,0
-1.0574,3.1682,0
4.7609,4.1523,0
2.6211,4.5374,0
-1.4624,5.4143,0
0.37387,1.8724,0
0.7477,5.3467,0
2.426,4.583,0
3.1846,1.6456,0
3.2426,0.091372,0
3.1804,7.3952,0
1.6658,4.1712,0
4.7623,7.2033,0
-0.88128,5.2281,0
5.6551,4.723,0
2.5186,7.1014,0
4.2616,7.4459,0
0.50522,5.2511,0
-0.73023,6.8309,0
2.2043,6.0741,0
2.0657,6.8341,0
2.0958,2.6852,0
1.4603,7.4469,0
2.521,1.4871,0
2.118,4.1527,0
-0.72096,5.9956,0
-2.0564,3.381,0
2.0253,6.2258,0
1.3854,6.3186,0
2.108,3.8337,0
-2.318,6.0503,0
-0.44602,5.2946,0
1.4469,5.1841,0
4.0072,7.6369,0
-1.6783,4.0686,0
1.2931,2.8354,0
1.4905,6.4306,0
1.6387,6.7434,0
-0.81259,2.9046,0
-0.82628,7.8235,0
-0.22643,2.3023,0
1.1536,3.1406,0
2.0881,6.3927,0
5.6247,1.1776,0
-2.5742,1.3753,0
3.2163,4.5991,0
3.3328,8.0468,0
0.77462,7.9951,0
-1.1192,2.7542,0
0.22495,3.3687,0
0.24809,5.6823,0
2.2928,7.3713,0
1.5459,10.739,0
2.6017,6.0591,0
0.82117,6.7341,0
2.3099,4.3281,0
0.78186,2.7901,0
